fecha,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total,nivel_institucional
2008,351,Prefectura del Departamento de Chuquisaca,11,1,0,DESARROLLO DE LA ELECTRIFICACION,CONST. INTERCONEXION ELECTRICA PADILLA - MONTEAGUDO,0,0,0,2468403,0,0,0,0,0,2468403,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,2,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL PRESTO-HUAYLLAPAMPA,0,0,0,228970,0,0,0,0,0,228970,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,4,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL CHAUNACA-SISIPUCO,0,0,0,372963,0,0,0,0,0,372963,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,5,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL AYOMITA (INCAHUASI),0,0,0,297446,0,0,0,0,0,297446,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,6,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL KHATALLA B-HUATA,0,0,0,115136,0,0,0,0,0,115136,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,9,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. L.ELÉCTRICAS MT, BT Y PT CANTÓN FERNÁNDEZ",0,0,0,1250264,0,0,0,0,0,1250264,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,11,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL RANCHO CORSO-CURIMA,0,0,0,1210263,0,0,0,0,0,1210263,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,12,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. L. ELÉCT. MT,BT Y PT TICUCHA-ZAPALLAR-VALLECITOS",0,0,0,1590874,0,0,0,0,0,1590874,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,16,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN KHATALLA-SAN MIGUEL DE IRACOTA,0,0,0,304904,0,0,0,0,0,304904,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,17,0,DESARROLLO DE LA ELECTRIFICACION,ANALISIS ELECTRIFICACIÓN PAQUETE DE PROYECTOS RURALES,0,0,0,201301,0,0,0,0,0,201301,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,19,0,DESARROLLO DE LA ELECTRIFICACION,"CONST. ELECTRIF.N RURAL CARACOLLO, LECORI Y KUMUNI (SAN LUCA",0,0,0,351440,0,0,0,0,0,351440,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,20,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL TAP-IVO IVO,0,0,0,573868,0,0,0,0,0,573868,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,21,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL ARPAJA ALTA (INCAHUASI),0,0,0,329187,0,0,0,0,0,329187,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,22,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL ARPAJA BAJA (INCAHUASI),0,0,0,329187,0,0,0,0,0,329187,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,23,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN RURAL CHAQUI MAYU BANDA (INCAHUASI),0,0,0,329187,0,0,0,0,0,329187,PD
2008,351,Prefectura del Departamento de Chuquisaca,11,24,0,DESARROLLO DE LA ELECTRIFICACION,CONST. ELECTRIFICACIÓN CULPINA-FASE II,0,0,0,1590951,0,0,0,0,0,1590951,PD
